Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $)",CO2 emissions (kt),CO2 emissions (metric tons per capita),"Population, total"
Afghanistan,AFG,1637.29714,8236.082,0.290025232,28397812
Albania,ALB,9559.157209,4283.056,1.499316163,2856673
Algeria,DZA,12494.06704,123475.224,3.331511849,37062820
American Samoa,ASM,..,..,..,55636
Andorra,ADO,..,517.047,6.636720705,77907
Angola,AGO,7047.052,30417.765,1.555965628,19549124
Antigua and Barbuda,ATG,20567.35934,513.38,5.88515814,87233
Argentina,ARG,..,180511.742,4.47096499,40374224
Armenia,ARM,6507.914402,4220.717,1.424235767,2963496
Aruba,ABW,..,2321.211,22.84723958,101597
Australia,AUS,41329.95115,373080.58,16.93373124,22031800
Austria,AUT,43005.54311,66897.081,7.973648029,8389771
Azerbaijan,AZE,15950.25746,45731.157,5.050748857,9054332
"Bahamas, The",BHS,22932.2253,2464.224,6.835610738,360498
Bahrain,BHR,40552.94193,24202.2,19.33835286,1251513
Bangladesh,BGD,2459.274341,56152.771,0.371563901,151125475
Barbados,BRB,15335.09822,1503.47,5.361952382,280396
Belarus,BLR,15703.11169,62221.656,6.556549631,9490000
Belgium,BEL,40807.48409,108946.57,9.976543625,10920272
Belize,BLZ,8208.963131,421.705,1.366532186,308595
Benin,BEN,1636.553579,5188.805,0.545627257,9509798
Bermuda,BMU,56395.0078,476.71,7.320035624,65124
Bhutan,BTN,6515.504349,476.71,0.664924073,716939
Bolivia,BOL,5278.885546,15456.405,1.521808822,10156601
Bosnia and Herzegovina,BIH,9144.623255,31125.496,8.093102083,3845929
Botswana,BWA,13349.20604,5232.809,2.657137083,1969341
Brazil,BRA,14043.37309,419754.156,2.150268044,195210154
Brunei Darussalam,BRN,70636.47046,9160.166,22.86788543,400569
Bulgaria,BGR,14885.74639,44678.728,6.041258862,7395599
Burkina Faso,BFA,1417.701239,1683.153,0.108309024,15540284
Burundi,BDI,725.2940769,308.028,0.03336253,9232753
Cabo Verde,CPV,6004.947097,355.699,0.729487839,487601
Cambodia,KHM,2513.057945,4180.38,0.291012884,14364931
Cameroon,CMR,2570.765314,7234.991,0.350798617,20624343
Canada,CAN,40713.44888,499137.372,14.67823409,34005274
Cayman Islands,CYM,..,590.387,10.63587887,55509
Central African Republic,CAF,901.1249493,264.024,0.060696275,4349921
Chad,TCD,1952.530574,469.376,0.040046478,11720781
Channel Islands,CHI,..,..,..,159518
Chile,CHL,19217.62359,72258.235,4.213121459,17150760
China,CHN,9230.435163,8286891.952,6.194857575,1337705000
Colombia,COL,10776.88956,75679.546,1.629451505,46444798
Comoros,COM,1376.896195,139.346,0.203996305,683081
"Congo, Dem. Rep.",ZAR,684.8571421,3039.943,0.048880628,62191161
"Congo, Rep.",COG,5533.192894,2027.851,0.493188609,4111715
Costa Rica,CRI,12322.6534,7770.373,1.664003675,4669685
Cote d'Ivoire,CIV,2892.240121,5804.861,0.305895928,18976588
Croatia,HRV,19988.81458,20883.565,4.727161668,4417781
Cuba,CUB,18290.92479,38364.154,3.400544489,11281768
Curacao,CUW,..,..,..,149311
Cyprus,CYP,30918.53201,7708.034,6.983907546,1103685
Czech Republic,CZE,27964.55331,111751.825,10.66903291,10474410
Denmark,DNK,42489.91432,46303.209,8.346404977,5547683
Djibouti,DJI,2665.351738,539.049,0.646313828,834036
Dominica,DMA,10374.9826,135.679,1.906487557,71167
Dominican Republic,DOM,11086.24442,20964.239,2.092908442,10016797
Ecuador,ECU,9310.958707,32636.3,2.175597851,15001072
"Egypt, Arab Rep.",EGY,10620.59504,204776.281,2.622791315,78075705
El Salvador,SLV,7236.963144,6248.568,1.004884536,6218195
Equatorial Guinea,GNQ,34462.29766,4679.092,6.721220627,696167
Eritrea,ERI,1083.236954,513.38,0.089420969,5741159
Estonia,EST,21711.50985,18338.667,13.77319664,1331475
Ethiopia,ETH,1081.314993,6494.257,0.07456497,87095281
Faeroe Islands,FRO,..,711.398,14.3481979,49581
Fiji,FJI,7097.532674,1290.784,1.499936669,860559
Finland,FIN,39453.2291,61843.955,11.53084023,5363352
France,FRA,36732.5,361272.84,5.556065562,65023142
French Polynesia,PYF,..,883.747,3.296763845,268065
Gabon,GAB,16725.83892,2574.234,1.654156027,1556222
"Gambia, The",GMB,1667.081069,473.043,0.281465989,1680640
Georgia,GEO,5938.318175,6241.234,1.401642562,4452800
Germany,DEU,40922.60918,745383.756,9.114841508,81776930
Ghana,GHA,3064.943078,8998.818,0.370887966,24262901
Greece,GRC,29484.90709,86717.216,7.774920307,11153454
Greenland,GRL,..,634.391,11.14824708,56905
Grenada,GRD,11177.99972,260.357,2.487241705,104677
Guam,GUM,..,..,..,159440
Guatemala,GTM,6849.285613,11118.344,0.775252594,14341576
Guinea,GIN,1185.448108,1235.779,0.113624058,10876033
Guinea-Bissau,GNB,1367.875245,238.355,0.150227779,1586624
Guyana,GUY,5542.062122,1701.488,2.164396038,786126
Haiti,HTI,1517.69854,2119.526,0.214171416,9896400
Honduras,HND,4270.063258,8107.737,1.063839388,7621204
"Hong Kong SAR, China",HKG,48120.90544,36288.632,5.166229891,7024200
Hungary,HUN,22270.48178,50582.598,5.058248166,10000023
Iceland,ISL,39197.39037,1961.845,6.168528586,318041
India,IND,4638.073461,2008822.937,1.666209247,1205624648
Indonesia,IDN,8026.713332,433989.45,1.803206699,240676485
"Iran, Islamic Rep.",IRN,15704.86689,571611.96,7.676526948,74462314
Iraq,IRQ,12329.7495,114667.09,3.703432682,30962380
Ireland,IRL,44117.35713,39999.636,8.771551844,4560155
Isle of Man,IMY,..,..,..,83992
Israel,ISR,29377.98384,70655.756,9.268030327,7623600
Italy,ITA,35769.21177,406307.267,6.854334881,59277417
Jamaica,JAM,8370.446965,7157.984,2.66014574,2690824
Japan,JPN,34571.07523,1170715.419,9.185650865,127450459
Jordan,JOR,11256.09465,20821.226,3.443801852,6046000
Kazakhstan,KAZ,19601.08735,248728.943,15.23926775,16321581
Kenya,KEN,2502.37439,12427.463,0.303781663,40909194
Kiribati,KIR,1729.366735,62.339,0.637784803,97743
"Korea, Dem. Rep.",PRK,..,71623.844,2.923360157,24500520
"Korea, Rep.",KOR,30440.40128,567567.259,11.4868054,49410366
Kosovo,KSV,8067.425288,..,..,1775680
Kuwait,KWT,81036.76994,93695.517,31.31974308,2991580
Kyrgyz Republic,KGZ,2790.170664,6398.915,1.174565429,5447900
Lao PDR,LAO,3900.748029,1873.837,0.292983284,6395713
Latvia,LVA,18199.08146,7616.359,3.631065216,2097555
Lebanon,LBN,16262.97234,20403.188,4.700012808,4341092
Lesotho,LSO,2228.528709,18.335,0.00912679,2008921
Liberia,LBR,688.5279441,799.406,0.201972718,3957990
Libya,LBY,30261.14291,59035.033,9.77302184,6040612
Liechtenstein,LIE,..,..,..,36120
Lithuania,LTU,20588.26117,13560.566,4.378214835,3097282
Luxembourg,LUX,89979.33639,10828.651,21.36026614,506953
"Macao SAR, China",MAC,98722.4396,1030.427,1.92737914,534626
"Macedonia, FYR",MKD,11023.06317,10872.655,5.171997074,2102216
Madagascar,MDG,1390.425166,2013.183,0.09550416,21079532
Malawi,MWI,737.2957487,1239.446,0.082554367,15013694
Malaysia,MYS,20398.36531,216804.041,7.667467327,28275835
Maldives,MDV,10681.17385,1074.431,3.298897124,325694
Mali,MLI,1663.639485,623.39,0.044572554,13985961
Malta,MLT,27906.52809,2588.902,6.24572264,414508
Marshall Islands,MHL,3513.931316,102.676,1.958419165,52428
Mauritania,MRT,2673.931786,2214.868,0.613635432,3609420
Mauritius,MUS,15225.27116,4118.041,3.214898776,1280924
Mexico,MEX,15460.1656,443673.997,3.763572235,117886404
"Micronesia, Fed. Sts.",FSM,3337.147256,102.676,0.990899352,103619
Moldova,MDA,3910.940785,4855.108,1.363011416,3562045
Monaco,MCO,..,..,..,36845
Mongolia,MNG,6475.443549,11510.713,4.243208522,2712738
Montenegro,MNE,13641.41784,2581.568,4.163295585,620078
Morocco,MAR,6465.692537,50608.267,1.599383453,31642360
Mozambique,MOZ,932.7560347,2882.262,0.120258277,23967265
Myanmar,MMR,..,8995.151,0.173212744,51931231
Namibia,NAM,8437.952096,3175.622,1.457397932,2178967
Nepal,NPL,1999.083172,3755.008,0.139872076,26846016
Netherlands,NLD,45763.99107,182077.551,10.95836494,16615394
New Caledonia,NCL,..,3920.023,15.680092,250000
New Zealand,NZL,31227.55164,31550.868,7.223514813,4367800
Nicaragua,NIC,4044.512222,4547.08,0.780988797,5822209
Niger,NER,841.2144674,1411.795,0.088827077,15893746
Nigeria,NGA,5113.73478,78910.173,0.494090977,159707780
Northern Mariana Islands,MNP,..,..,..,53860
Norway,NOR,61874.63687,57186.865,11.69644457,4889252
Oman,OMN,47953.99911,57201.533,20.40894323,2802768
Pakistan,PAK,4219.553516,161395.671,0.932118498,173149306
Palau,PLW,13456.42588,216.353,10.56927211,20470
Panama,PAN,14921.28986,9633.209,2.619052137,3678128
Papua New Guinea,PNG,2114.236575,3135.285,0.457108929,6858945
Paraguay,PRY,7007.575834,5075.128,0.785657461,6459721
Peru,PER,9915.118349,57579.234,1.967657742,29262830
Philippines,PHL,5613.745543,81590.75,0.87314829,93444322
Poland,POL,21299.18838,317254.172,8.308632041,38183683
Portugal,PRT,27043.45113,52361.093,4.952293367,10573100
Puerto Rico,PRI,34456.70345,..,..,3721208
Qatar,QAT,127235.6889,70531.078,40.310084,1749713
Romania,ROM,16887.7702,78745.158,3.889250739,20246871
Russian Federation,RUS,21734.21744,1740776.238,12.22579516,142385523
Rwanda,RWA,1261.993182,594.054,0.054818556,10836732
Samoa,WSM,5417.23866,161.348,0.867327137,186029
San Marino,SMR,..,..,..,30861
Sao Tome and Principe,STP,2743.445377,99.009,0.555518774,178228
Saudi Arabia,SAU,46181.11484,464480.555,17.03991344,27258387
Senegal,SEN,2181.693545,7058.975,0.545070856,12950564
Serbia,SRB,12300.64067,45962.178,6.303583821,7291436
Seychelles,SYC,20240.84166,704.064,7.842976495,89770
Sierra Leone,SLE,1346.482294,689.396,0.119853769,5751976
Singapore,SGP,71816.31357,13520.229,2.663192428,5076700
Sint Maarten (Dutch part),SXM,..,..,..,37850
Slovak Republic,SVK,24919.38801,36094.281,6.694753412,5391428
Slovenia,SVN,28599.9609,15328.06,7.482274333,2048583
Solomon Islands,SLB,1786.421526,201.685,0.383105992,526447
Somalia,SOM,..,608.722,0.063170514,9636173
South Africa,ZAF,11650.84642,460124.159,9.040531461,50895698
South Sudan,SSD,3838.060503,..,..,9940929
Spain,ESP,32925.10399,269674.847,5.78988435,46576897
Sri Lanka,LKA,7572.008126,12709.822,0.615398344,20653000
St. Kitts and Nevis,KNA,20478.68113,249.356,4.763065403,52352
St. Lucia,LCA,10515.33496,403.37,2.273826502,177397
St. Martin (French part),MAF,..,..,..,30235
St. Vincent and the Grenadines,VCT,9925.669568,209.019,1.912062278,109316
Sudan,SDN,3326.671654,14172.955,0.310858607,35652002
Suriname,SUR,14324.56108,2383.55,4.540441176,524960
Swaziland,SWZ,6511.652177,1023.093,0.857473675,1193148
Sweden,SWE,43060.20008,52515.107,5.599744235,9378126
Switzerland,CHE,53849.34632,38756.523,4.952967888,7824909
Syrian Arab Republic,SYR,..,61858.623,2.872783035,21532647
Tajikistan,TJK,2110.288892,2860.26,0.375001672,7627326
Tanzania,TZA,1545.203565,6846.289,0.152229977,44973330
Thailand,THA,12821.68347,295281.508,4.446855558,66402316
Timor-Leste,TMP,1777.12922,183.35,0.171932157,1066409
Togo,TGO,1246.016059,1540.14,0.244233521,6306014
Tonga,TON,4981.617172,157.681,1.514736114,104098
Trinidad and Tobago,TTO,29321.0199,50681.607,38.16113079,1328095
Tunisia,TUN,10408.9297,25878.019,2.453102066,10549100
Turkey,TUR,16757.53418,298002.422,4.131030767,72137546
Turkmenistan,TKM,10031.64456,53054.156,10.52245312,5041995
Turks and Caicos Islands,TCA,..,161.348,5.205949731,30993
Tuvalu,TUV,3221.923174,..,..,9827
Uganda,UGA,1294.003896,3784.344,0.111346111,33987213
Ukraine,UKR,7856.847171,304804.707,6.644867137,45870700
United Arab Emirates,ARE,57379.97174,167596.568,19.85379771,8441537
United Kingdom,GBR,36318.58736,493504.86,7.86256875,62766365
United States,USA,49375.75766,5433056.536,17.56415999,309326295
Uruguay,URY,16494.29814,6644.604,1.970533651,3371982
Uzbekistan,UZB,4185.14253,104443.494,3.6566778,28562400
Vanuatu,VUT,2948.441792,117.344,0.496591183,236299
"Venezuela, RB",VEN,16536.50561,201747.339,6.946437116,29043283
Vietnam,VNM,4486.261073,150229.656,1.728118437,86932500
Virgin Islands (U.S.),VIR,..,..,..,106267
West Bank and Gaza,WBG,4162.701637,2365.215,0.620611834,3811102
