Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $)",CO2 emissions (kt),CO2 emissions (metric tons per capita),"Population, total"
Liberia,LBR,142.0188078,333.697,0.160437344,2079921
Libya,LBY,..,46020.85,9.693458974,4747619
Liechtenstein,LIE,..,..,..,30824
Lithuania,LTU,9224.318961,16204.473,4.46514675,3629102
Luxembourg,LUX,63740.72491,8316.756,20.35302784,408625
"Macao SAR, China",MAC,44465.2258,1243.113,3.119801535,398459
"Macedonia, FYR",MKD,7893.068906,10839.652,5.510717011,1967013
Madagascar,MDG,1402.190938,1312.786,0.09758658,13452526
Malawi,MWI,593.2338572,729.733,0.073236475,9964065
Malaysia,MYS,14035.30151,121132.011,5.844623648,20725374
Maldives,MDV,..,275.025,1.122711408,244965
Mali,MLI,1125.519304,469.376,0.052217563,8988853
Malta,MLT,20720.29598,2126.86,5.741551104,370433
Marshall Islands,MHL,3562.208907,66.006,1.29372795,51020
Mauritania,MRT,2492.21548,2984.938,1.278681179,2334388
Mauritius,MUS,9065.099208,1829.833,1.630203206,1122457
Mexico,MEX,12490.93996,328038.819,3.438827093,95392647
"Micronesia, Fed. Sts.",FSM,3184.847216,..,..,107556
Moldova,MDA,2587.910536,11191.684,3.045274155,3675099
Monaco,MCO,..,..,..,30700
Mongolia,MNG,3565.021676,7924.387,3.448289712,2298063
Montenegro,MNE,..,..,..,614669
Morocco,MAR,3870.18553,30373.761,1.131951542,26833093
Mozambique,MOZ,464.6713883,1111.101,0.069523891,15981571
Myanmar,MMR,..,6959.966,0.153540419,45329862
Namibia,NAM,5899.125142,1631.815,0.98645943,1654214
Nepal,NPL,1404.828823,2035.185,0.09885702,20587157
Netherlands,NLD,35183.2815,166045.427,10.74101575,15459006
New Caledonia,NCL,..,1730.824,8.968,193000
New Zealand,NZL,24718.65363,27146.801,7.390102085,3673400
Nicaragua,NIC,2989.124545,2779.586,0.596547066,4659458
Niger,NER,810.8992007,920.417,0.100404622,9167078
Nigeria,NGA,2739.587075,34917.174,0.322040394,108424827
Northern Mariana Islands,MNP,..,..,..,57518
Norway,NOR,50018.90193,34906.173,8.007501633,4359184
Oman,OMN,32750.34263,15896.445,7.377910053,2154600
Pakistan,PAK,3255.472603,84484.013,0.666858435,126689577
Palau,PLW,14119.89074,113.677,6.588061431,17255
Panama,PAN,8795.01522,2984.938,1.082674526,2757004
Papua New Guinea,PNG,2144.176638,2038.852,0.432333057,4715929
Paraguay,PRY,6581.966866,3964.027,0.82552354,4801834
Peru,PER,6197.764886,23883.171,0.997656987,23939261
Philippines,PHL,3972.70367,60710.852,0.872200412,69606539
Poland,POL,11108.7323,346813.859,8.985979453,38594998
Portugal,PRT,21694.3029,51924.72,5.17891567,10026176
Puerto Rico,PRI,28629.46068,..,..,3683103
Qatar,QAT,..,30824.802,61.50764436,501154
Romania,ROM,10516.05893,127101.887,5.603084737,22684270
Russian Federation,RUS,12031.63939,1662526.125,11.22259283,148141000
Rwanda,RWA,695.4715558,612.389,0.108122619,5663838
Samoa,WSM,3694.036537,132.012,0.77582012,170158
San Marino,SMR,..,..,..,25680
Sao Tome and Principe,STP,..,47.671,0.365636841,130378
Saudi Arabia,SAU,35424.78234,236253.809,12.72415816,18567343
Senegal,SEN,1774.292974,3494.651,0.401152473,8711528
Serbia,SRB,7062.079823,..,..,7738987
Seychelles,SYC,15006.24061,190.684,2.532189525,75304
